Table 1
,Bike No,Probability,Starting SoC,,,Random,,Normal,,ninety,Normal1,Random1,Random Data 1,Random Data 2,Random Data 3,Random Data 4,Random Data 5,Random Data 6,Random Data 7,Random Data 8,Random Data 9,Random Data 10,Random Data 11,5% change A,5% change B,5% change C
0.4,16,0.4,60.00,0.00,,84,,82,,90,81,73,88,83,80,87,74,92,91,88,84,78,78,89,96,76
0.5,17,0.6,98.00,0.00,,86,,85,,90,84,92,74,80,88,77,81,81,77,92,89,79,92,92,86,70
0.4,18,0.5,85.00,0.00,,82,,84,,90,83,81,78,77,78,89,92,85,85,74,75,87,73,83,91,98
0.4,19,0.3,40.00,0.00,,87,,81,,90,79,88,85,86,86,84,92,84,76,78,79,79,90,90,86,81
0.6,20,0.4,77.00,0.00,,80,,83,,90,82,90,83,80,89,80,83,77,77,73,86,83,89,97,85,69
0.6,21,0.5,82.00,0.00,,81,,84,,90,83,88,85,83,81,77,88,77,77,84,87,91,77,78,91,85
0.5,22,0.5,94.00,0.00,,88,,84,,90,84,75,91,81,81,80,80,80,90,81,87,84,73,77,73,91
0.4,23,0.5,79.00,0.00,,75,,83,,90,83,80,84,88,89,73,88,80,77,86,73,85,74,97,70,84
0.5,24,0.4,68.00,0.00,,87,,83,,90,82,73,84,89,80,73,76,84,75,84,83,79,78,88,73,70
0.6,25,0.5,79.00,0.00,,84,,83,,90,83,74,73,90,77,74,85,83,73,81,76,87,87,86,93,71
0.4,26,0.3,35.00,0.00,,92,,81,,90,79,77,89,88,77,77,93,92,75,78,74,89,93,69,70,80
0.4,27,0.4,60.00,0.00,,83,,82,,90,81,73,82,85,73,92,87,89,81,78,89,87,79,92,84,77
0.4,28,0.4,68.00,0.00,,78,,83,,90,82,82,87,81,74,73,86,79,81,79,90,80,81,81,69,79
0.2,29,0.5,86.00,0.00,,75,,84,,90,83,84,84,78,78,75,88,73,88,76,76,77,82,91,85,92
0.6,30,0.4,60.00,0.00,,76,,82,,90,81,92,78,93,89,76,76,93,75,92,82,75,80,90,83,84
0.5,31,0.4,66.00,0.00,,77,,83,,90,82,87,77,82,88,90,91,84,89,87,77,77,93,71,91,76
0.5,32,0.5,79.00,0.00,,86,,83,,90,83,78,90,91,92,90,87,92,74,78,82,76,82,79,98,69
0.6,33,0.3,50.00,0.00,,82,,82,,90,80,93,88,73,88,88,86,87,91,88,86,93,85,82,70,73
0.5,34,0.4,74.00,0.00,,76,,83,,90,82,74,76,92,85,86,79,78,81,93,91,74,75,72,76,91
0.5,35,0.8,139.00,0.00,,75,,88,,90,87,79,93,88,81,81,75,81,79,84,78,78,74,81,91,83
0.6,36,0.6,101.00,0.00,,83,,85,,90,84,88,85,85,90,85,75,73,82,88,88,90,74,70,82,98
0.4,37,0.7,130.00,0.00,,78,,87,,90,87,77,84,76,82,80,76,89,87,82,76,82,85,71,90,78
0.5,38,0.6,96.00,0.00,,79,,85,,90,84,88,89,86,81,84,78,85,87,82,73,88,85,77,81,69
0.5,39,0.4,60.00,0.00,,87,,82,,90,81,91,82,80,81,80,79,77,90,82,90,76,80,90,70,85
0.5,40,0.5,90.00,0.00,,89,,84,,90,83,83,86,81,85,83,91,85,74,75,81,78,90,76,70,71
0.5,41,0.5,81.00,0.00,,79,,84,,90,83,81,76,81,88,82,86,76,86,77,73,83,87,73,70,72
0.4,42,0.6,100.00,0.00,,83,,85,,90,84,79,90,90,93,82,82,73,93,88,78,78,74,80,72,71
0.7,43,0.5,92.00,0.00,,79,,84,,90,84,91,81,84,93,92,75,81,74,88,93,82,88,85,93,82
0.6,44,0.6,104.00,0.00,,91,,85,,90,85,93,73,79,73,90,84,76,81,83,83,76,76,98,88,69
0.4,45,0.4,73.00,0.00,,82,,83,,90,82,84,83,89,77,77,88,91,81,80,90,91,77,92,89,80
0.5,46,0.4,71.00,0.00,,89,,83,,90,82,79,79,89,76,77,91,82,81,81,86,83,93,68,91,84
0.4,47,0.4,71.00,0.00,,88,,83,,90,82,88,84,84,76,93,73,90,77,77,79,73,81,87,97,92
0.5,48,0.4,71.00,0.00,,89,,83,,90,82,77,76,90,87,93,74,77,78,90,90,77,73,96,96,88
0.4,49,0.4,74.00,0.00,,88,,83,,90,82,90,81,81,78,81,79,92,74,86,89,81,81,91,86,75
0.4,50,0.3,54.00,0.00,,79,,82,,90,81,76,85,81,81,89,88,86,82,92,82,92,89,78,84,86
0.5,51,0.5,90.00,0.00,,91,,84,,90,83,78,89,79,78,89,92,73,89,86,83,93,88,85,68,89
0.5,52,0.6,105.00,0.00,,77,,85,,90,85,88,89,79,86,82,85,78,75,78,87,88,83,93,93,75
0.6,53,0.4,75.00,0.00,,84,,83,,90,82,77,90,78,73,87,81,84,81,85,83,80,74,85,74,70
0.3,54,0.6,98.00,0.00,,78,,85,,90,84,89,91,93,92,78,87,76,89,84,80,85,84,68,84,89
0.4,55,0.4,75.00,0.00,,82,,83,,90,82,78,88,76,87,87,88,90,89,78,74,86,93,68,92,71
0.6,56,0.6,107.00,0.00,,83,,85,,90,85,74,77,78,82,73,81,75,93,93,85,80,88,76,95,90
0.3,57,0.6,102.00,0.00,,89,,85,,90,84,79,79,93,73,90,79,75,88,93,87,89,77,75,84,90
0.6,58,0.4,58.00,0.00,,85,,82,,90,81,87,77,88,76,82,89,87,80,84,81,88,74,94,90,91
0.5,59,0.5,83.00,0.00,,75,,84,,90,83,87,76,74,76,79,92,85,89,75,85,92,77,83,80,70
0.3,60,0.3,50.00,0.00,,84,,82,,90,80,83,85,74,85,87,85,84,86,93,80,77,80,74,73,84
0.3,61,0.5,78.00,0.00,,79,,83,,90,82,79,83,91,75,73,93,78,89,82,90,80,87,72,89,94
0.5,62,0.5,91.00,0.00,,92,,84,,90,84,76,75,85,92,83,83,90,84,91,84,84,91,69,76,84
0.5,63,0.5,86.00,0.00,,76,,84,,90,83,85,77,82,92,78,82,81,85,74,74,73,85,92,98,69
0.4,64,0.5,96.00,0.00,,84,,85,,90,84,85,93,77,76,89,84,91,85,77,88,93,85,78,85,68
0.4,65,0.4,66.00,0.00,,84,,83,,90,81,75,91,88,92,86,92,81,82,89,80,74,75,98,90,86
0.5,66,0.5,87.00,0.00,,87,,84,,90,83,92,74,77,90,90,77,90,79,88,91,80,80,83,97,82
0.4,67,0.6,100.00,0.00,,81,,85,,90,84,82,85,85,85,78,74,75,88,76,83,83,89,83,73,84
0.4,68,0.4,74.00,0.00,,85,,83,,90,82,88,78,87,77,92,91,92,92,90,79,77,79,80,96,88
0.6,69,0.5,92.00,0.00,,85,,84,,90,84,91,87,76,73,88,81,79,84,80,91,93,80,94,86,91
0.5,70,0.6,104.00,0.00,,77,,85,,90,85,88,93,75,82,82,77,83,90,83,73,85,82,68,93,78
0.5,71,0.5,85.00,0.00,,78,,84,,90,83,73,82,81,75,76,92,75,73,78,74,88,90,78,70,88
0.5,72,0.4,73.00,0.00,,77,,83,,90,82,90,87,85,93,78,89,73,92,83,74,73,93,79,74,89
0.5,73,0.4,64.00,0.00,,82,,82,,90,81,91,90,85,81,78,85,86,81,83,88,78,82,84,80,73
0.5,74,0.5,95.00,0.00,,88,,85,,90,84,74,76,93,74,89,82,92,77,91,74,79,93,68,76,69
0.5,75,0.4,60.00,0.00,,77,,82,,90,81,84,91,77,92,89,73,79,84,77,88,84,76,88,70,81
0.7,76,0.5,87.00,0.00,,81,,84,,90,83,90,82,91,93,85,90,86,93,73,82,92,82,94,83,83
0.4,77,0.5,90.00,0.00,,90,,84,,90,83,84,86,85,90,82,89,93,88,91,85,91,92,85,83,72
0.6,78,0.7,117.00,0.00,,86,,86,,90,86,91,91,90,79,82,92,74,76,83,80,90,93,82,93,69
0.6,79,0.5,87.00,0.00,,84,,84,,90,83,77,77,88,80,82,78,87,75,74,84,87,80,75,74,72
0.4,80,0.7,130.00,0.00,,90,,87,,90,87,88,76,89,92,90,76,76,84,93,88,85,82,71,88,97
0.3,81,0.6,97.00,0.00,,86,,85,,90,84,91,75,78,85,88,77,77,93,87,78,92,90,89,76,77
0.6,82,0.6,108.00,0.00,,75,,85,,90,85,88,77,84,73,89,82,83,88,73,77,83,88,96,73,96
0.5,83,0.5,84.00,0.00,,83,,84,,90,83,85,83,75,84,86,83,73,86,76,84,85,76,90,69,90
0.7,84,0.4,68.00,0.00,,77,,83,,90,82,75,81,79,77,89,84,85,76,76,78,85,80,84,83,89
0.4,85,0.5,86.00,0.00,,79,,84,,90,83,88,84,84,90,92,77,74,87,77,75,81,85,92,87,86
0.3,86,0.4,61.00,0.00,,81,,82,,90,81,91,83,86,78,80,90,89,73,89,81,73,77,68,81,92
0.5,87,0.4,59.00,0.00,,79,,82,,90,81,82,81,74,78,82,93,84,77,78,76,78,79,68,84,80
0.5,88,0.5,78.00,0.00,,80,,83,,90,82,75,93,79,81,80,79,87,77,88,83,81,74,94,89,73
0.5,89,0.5,85.00,0.00,,76,,84,,90,83,92,74,85,80,74,73,87,81,78,76,75,87,96,94,77
0.3,90,0.5,84.00,0.00,,91,,84,,90,83,74,82,80,88,87,92,73,76,83,82,92,85,70,81,90
0.4,91,0.3,49.00,0.00,,89,,81,,90,80,82,86,92,92,84,86,78,87,80,86,80,86,74,96,92
0.5,92,0.6,98.00,0.00,,82,,85,,90,84,82,89,85,92,91,90,84,76,88,91,79,73,76,73,81
0.3,93,0.3,51.00,0.00,,75,,82,,90,80,86,73,86,80,77,88,88,92,85,90,86,89,70,72,74
0.3,94,0.4,63.00,0.00,,87,,82,,90,81,91,80,87,90,82,79,74,86,78,80,83,84,79,94,92
0.6,95,0.6,98.00,0.00,,88,,85,,90,84,86,82,74,87,76,79,79,74,93,93,73,85,90,85,88
0.5,96,0.5,88.00,0.00,,76,,84,,90,83,86,87,80,77,75,82,91,88,73,79,76,77,81,79,92
0.4,97,0.5,85.00,0.00,,91,,84,,90,83,88,84,89,81,78,90,91,73,90,80,84,78,73,93,89
0.6,98,0.4,76.00,0.00,,92,,83,,90,82,86,73,73,87,90,87,73,77,87,82,76,93,72,87,69
0.5,99,0.7,126.00,0.00,,83,,87,,90,86,80,81,87,83,77,93,79,76,84,76,84,74,90,92,71
0.5,100,0.5,86.00,0.00,,91,,84,,90,83,80,81,78,78,82,75,87,78,90,88,80,93,70,85,88
